date,open,high,low,close,volume,openint,etf_close,etf_vol,MA7,MA21,RSI,MACD,Target
2014-01-29,39.746,40.695,39.045,39.984,20646,0,137.93,28578.0,40.67585714285714,40.73809523809524,49.589366760319855,0.42629587165848903,39.804
2014-01-30,40.241,40.523,39.804,39.804,9817,0,134.77,88654.0,40.32914285714286,40.80585714285714,35.640276301806594,0.32137171186644053,40.181
2014-01-31,39.7,40.506,39.102,40.181,24441,0,134.27,29033.0,40.09728571428571,40.90104761904762,22.554347826086897,0.2655778919511178,38.532
2014-02-03,40.241,40.241,38.438,38.532,4671,0,135.08,25033.0,39.74357142857143,40.91323809523809,20.11690903906468,0.08729409695249046,39.461
2014-02-04,39.121,40.116,38.998,39.461,14496,0,134.15,44948.0,39.60385714285714,40.96195238095238,27.29985727260926,0.02072651856948937,39.177
2014-02-05,39.661,39.889,39.063,39.177,34681,0,134.82,41884.0,39.51842857142857,40.9767619047619,27.29985727260926,-0.054319037355305966,39.775
2014-02-06,39.604,40.325,38.771,39.775,14071,0,134.43,64009.0,39.55914285714285,40.98171428571429,33.970329394015536,-0.06479268900743307,38.93
2014-02-07,39.33,39.348,38.876,38.93,39793,0,135.02,34656.0,39.40857142857143,40.92790476190476,28.228369629193637,-0.13966757062654267,39.216
2014-02-10,39.623,39.623,38.826,39.216,33851,0,135.32,71209.0,39.324571428571424,40.79695238095238,32.01717762137659,-0.17392375912439917,39.177
2014-02-11,39.33,39.33,38.856,39.177,42748,0,135.34,67200.0,39.18114285714286,40.58561904761905,33.57098186366477,-0.20189172721674709,39.348
2014-02-12,39.187,39.348,38.979,39.348,18280,0,137.33,25169.0,39.297714285714285,40.42485714285714,38.738127544097665,-0.20786216686497738,40.866
2014-02-13,39.14,41.093,38.627,40.866,9811,0,138.15,26490.0,39.498428571428576,40.32514285714286,52.566414232479865,-0.0890770450296543,40.723
2014-02-14,41.131,41.131,40.165,40.723,33306,0,139.5,20965.0,39.71928571428571,40.232142857142854,56.07848166196461,-0.006404063021591355,39.966
2014-02-18,40.506,40.836,39.966,39.966,4398,0,138.83,28130.0,39.74657142857143,40.11980952380953,52.87787182587665,-0.0019462672828325367,39.832
2014-02-19,40.439,40.439,39.832,39.832,3586,0,138.16,26588.0,39.87542857142857,39.98661904761905,49.03919089759797,-0.009120971279152457,40.231
2014-02-20,39.927,40.231,39.879,40.231,18503,0,138.45,24348.0,40.02042857142857,39.891380952380956,52.62639931110837,0.017190824407819605,39.917
2014-02-21,39.841,40.191,39.841,39.917,2906,0,139.5,24821.0,40.12614285714285,39.80152380952381,48.36350111579472,0.012561139269031685,40.561
2014-02-24,39.566,40.771,39.566,40.561,5016,0,140.31,44068.0,40.29942857142857,39.7802380952381,64.36765330689707,0.060163965564640876,40.345
2014-02-25,40.448,40.761,40.345,40.345,3977,0,140.58,24020.0,40.225,39.77576190476191,56.96282293635791,0.07954322872428321,39.736
2014-02-26,40.63,40.742,39.529,39.736,17450,0,139.5,27011.0,40.083999999999996,39.77390476190476,54.1885209051401,0.04523873998925154,39.937
2014-02-27,39.966,40.165,39.632,39.937,8405,0,141.65,25916.0,40.07985714285714,39.79519047619048,51.290630975143394,0.03388065063855805,39.775
2014-02-28,40.155,40.647,39.538,39.775,18420,0,141.01,34284.0,40.071714285714286,39.78523809523809,57.55408546397281,0.011672681481883274,39.442
2014-03-03,39.442,39.681,39.376,39.442,14321,0,142.24,29850.0,39.958999999999996,39.768,52.00354609929077,-0.03242384912784502,39.681
2014-03-04,39.529,39.869,39.262,39.681,9022,0,142.78,33213.0,39.925285714285714,39.744190476190475,54.31506849315067,-0.047537383376173636,40.685
2014-03-05,39.823,40.685,39.538,40.685,19179,0,144.16,52186.0,39.943,39.846714285714285,60.017982916229606,0.02125443319139464,40.866
2014-03-06,40.62,41.426,40.345,40.866,17738,0,144.65,157395.0,40.01742857142857,39.913619047619044,50.0,0.08934768624926903,41.235
2014-03-07,41.017,41.264,40.96,41.235,4736,0,144.51,30810.0,40.23157142857143,40.01161904761905,54.60266091334053,0.17111479122339546,40.998
2014-03-10,40.96,42.241,40.781,40.998,20106,0,144.02,21212.0,40.38314285714286,40.069857142857146,60.234034113447,0.2143213288387571,40.305
2014-03-11,40.705,40.705,40.107,40.305,8285,0,142.72,59694.0,40.45885714285714,40.135333333333335,54.2224602749509,0.1904481451603175,40.895
2014-03-12,40.523,40.905,40.439,40.895,5423,0,143.9,17466.0,40.66642857142857,40.21528571428571,55.73204419889504,0.21663926170672454,40.305
2014-03-13,41.121,41.367,40.305,40.305,3394,0,144.03,47755.0,40.75557142857143,40.269,53.19709953856294,0.18762501670226328,40.581
2014-03-14,40.542,40.63,40.4,40.581,9066,0,143.24,28333.0,40.74071428571428,40.327714285714286,50.175438596491254,0.18477197555401403,40.809
2014-03-17,40.751,41.283,40.487,40.809,1956,0,142.79,16252.0,40.732571428571426,40.325,54.06162464985994,0.19861905755406184,40.457
2014-03-18,40.895,40.895,40.295,40.457,17088,0,142.38,24477.0,40.621428571428574,40.312333333333335,56.60861594867098,0.1791246738497776,40.905
